OBJECTID,ZIPCODE,POSTALCITY,POPULATION
1,48201,Detroit,14500
2,48202,Detroit,17260
3,48203,Detroit,22168
4,48204,Detroit,21738
5,48205,Detroit,34056
6,48206,Detroit,15712
7,48207,Detroit,21704
8,48208,Detroit,8090
9,48209,Detroit,27096
10,48210,Detroit,27155
11,48211,Detroit,5447
12,48212,Detroit,43192
13,48213,Detroit,19088
14,48214,Detroit,18959
15,48215,Detroit,10520
16,48216,Detroit,5031
17,48217,Detroit,6437
18,48219,Detroit,46811
19,48221,Detroit,38204
20,48223,Detroit,22956
21,48224,Detroit,39633
22,48226,Detroit,6307
23,48227,Detroit,40266
24,48228,Detroit,53893
25,48234,Detroit,31442
26,48235,Detroit,45188
27,48236,Grosse Pointe,31286
28,48238,Detroit,25747
29,48239,Redford,36814
30,48243,Detroit,5058
